State,Category Of Video ,Builder Name,Project Name,City Name,Title ,Youtube Link 
,,,,,,
,Project Showcase,,NSV Project Showcase,,,https://youtu.be/uAckY9Bwp-4
,Project Showcase,,NSV Project Showcase,,,https://youtu.be/AIQ96vfG1to
,Project Showcase,,Bhawani Square ,,,https://youtu.be/_CaWHxR7VAA
,Construction Update,,Construction Timelapse,,,https://youtu.be/qmqF4u-i7iQ
,Influencer Video,,"Beautiful Models, Stunning Properties",,,https://youtu.be/mVwEMbqmO_0
,Construction Update,,Construction Updates |,,,https://youtu.be/CevHKg8Xe-8
,Project Showcase,,Live Property Webinar,,,https://youtu.be/XDLl0U8jFz0
,construction Update,,Construction Updates |,,,https://youtu.be/DyfSMAIaaoo
,Review Videos,,Cosmos Serenity,,,https://youtu.be/FPbPrtkHM70
,Locality Video,,NSV Italy Rome Locality Video,,,https://youtu.be/c09lb9F0N_o
,Locality Video,,NSV Switzerland Bern,,,https://youtu.be/C124pbm-HMc
,Aerial View,,NSV The Arka Floor wise,,,https://youtu.be/nM2RlpOsscg
,Promotional Video,,NSV 3D Promo Video,,,https://youtu.be/9Des1fYvYYA
,Aerial View,,Homeland Infinia,,,https://youtu.be/PKZ8HBDCQ5k
,Route Video,,Tarc Ishva,,,https://youtu.be/P6ZLICzKS0I
,Aerial View,,Madhya Ganga,,,https://youtu.be/lZBNm2S5UxE
,Aerial View,,Venkatesh Midori,,,https://youtu.be/28re7kRCl6I
,Route Video,,Dream Land,,,https://youtu.be/W3FsyLbbyvI
,Interior,,Horizon Interior,,,https://youtu.be/D4aEKKMkD4Q
,Promotional Video,, Real Estate Service Reel,,,https://youtu.be/5ZY-190Nsa0
,Walkthrough,,Tropical Bliss Walkthrough,,,https://youtu.be/3BuUW5va9xE
,Construction update,,Construction Updates |,,,https://youtu.be/G1k-Nj0E8QQ
,Interior,,360 Degree Virtual Tours,,,https://youtu.be/_BDgfH8vi3U
,Route Video,,Drone Route Video ,,,https://youtu.be/XwshXBUihe4
,Aerial View ,,Amrawati Associates,,,https://youtu.be/tAVeJ2ksH5k
,Route Video,,Rudraksh Paradise,,,https://youtu.be/1h3HKPTZOv8
,Locality Video,, Locality Video,,,https://youtu.be/h1iHHPQ6OCw
,Locality Video,,Short Locality Video,,,https://youtu.be/-kCnuUWppDA
,Connectivity,,Connectivity Video,,,https://youtu.be/1uERvvwmzWE
,Connectivity,,Connectivity Video,,,https://youtu.be/yP9BFGAX5AM
,Locality Video,,TARC Ishva,,,https://youtu.be/74dI5ngMsQg
,Locality Video,,Maya Green Lotus,,,https://youtu.be/Vqi_ruRem1I
,Construction Update,,Construction Update,,,https://youtu.be/EuLEjHKqA9Y
,Locality Video,,Maya Green Lotus,,,https://youtu.be/nqLbxQfp26g
,Route Video ,,Before After video,,,https://youtu.be/Fqz37k4D2UE
,Project Showcase,,Project showcase,,,https://youtu.be/lIx8ogSZeF0
,Interior,,Real Estate Virtual Tour,,,https://youtu.be/chq4pD2lbJw
,Interior,,Luxury Experience Video,,,https://youtu.be/7DCKwyjrlEQ
,Locality Video,, Luxury prject,,,https://youtu.be/8DmHu-H9cN8
,Project Showcase,,Luxury Project,,,https://youtu.be/IidAmF7zytg
,Project showcase,, Project Showcase,,,https://youtu.be/7oqZoDdLnjY
,Influencer Video,, Influence Marketing ,,,https://youtu.be/RzRY2SO6VZQ
,Route Video,,Before After video,,,https://youtu.be/NnG6TDuf7TU
,Locality Video,,France Locality Video,,,https://youtu.be/13ODkAkcXrg
,Construction Update,,Construction Update,,,https://youtu.be/ppgsOh1ReSU
,Construction Update,,Construction Update,,,https://youtu.be/GZLxCpaIQdw
,locality Video,,Ireland Locality Video,,,https://youtu.be/hBSz2-ITKb4
,Project Showcase,,"NSV 3D VR",,,https://youtu.be/DkpnjMS0q8c
,Interior,,NSV Full PVR,,,https://youtu.be/SUDt0zCRCYQ
,Locality Video,,Stockholm ,,,https://youtu.be/2yE3YC0vm8c
,Locality Video,, Speed infra Video,,,https://youtu.be/1GFtATmo2dE
,Locality Video,,NSV Lisbon Locality Video,,,https://youtu.be/Njoj1gaQngU
,Interior,,NSV 3D Virtual Tour,,,https://youtu.be/Kh9_yeEfKzc
,Project Showcase,,NSV,,,https://youtu.be/uoTYy93Z6QI
,Connectivity,,"NSV Connectivity Video",,,https://youtu.be/hHSsPYvYg_U
,construction Update,,construction Update,,,https://youtu.be/ptldwHZ1qSI
